SKU,Name,DisplayName,Description,Type,Thickness,ProductType,FranchisePrice,RetailPrice,UOM,TypeCode,ColorCode,ProfileCode,VendorName
PM-0014-0000772,Sunday Stroll,Sunday Stroll,Sunday Stroll 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880056,120,Tafisa
EB-0014-0000025,Sunday Stroll,Sunday Stroll,Sunday Stroll 1mm,2,0.039,EB,0.38,0.38,LF,1037,880056,120,Tafisa
PM-0014-0000775,Ganache,Ganache,Ganache 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880057,120,Tafisa
PM-0014-0000774,Ganache,Ganache,Ganache 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880057,120,Tafisa
EB-0014-0000026,Ganache,Ganache,Ganache 1mm,2,0.039,EB,0.38,0.38,LF,1037,880057,120,Tafisa
PM-0014-0000777,Night Owl,Night Owl,Night Owl 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880058,120,Tafisa
PM-0014-0000776,Night Owl,Night Owl,Night Owl 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880058,120,Tafisa
EB-0014-0000027,Night Owl,Night Owl,Night Owl 1mm,2,0.039,EB,0.38,0.38,LF,1037,880058,120,Tafisa
PM-0014-0000779,Chocolate Pear,Chocolate Pear,Chocolate Pear3/4,2,0.75,PM,3.49813,17.76,SF,15200,880059,120,Tafisa
PM-0014-0000778,Chocolate Pear,Chocolate Pear,Chocolate Pear 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880059,120,Tafisa
EB-0014-0000028,Chocolate Pear,Chocolate Pear,Chocolate Pear 1mm,2,0.039,EB,0.38,0.38,LF,1037,880059,120,Tafisa
PM-0014-0000781,Summer Flame,Summer Flame,Summer Flame 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880060,120,Tafisa
PM-0014-0000780,Summer Flame,Summer Flame,Summer Flame 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880060,120,Tafisa
EB-0014-0000029,Summer Flame,Summer Flame,Summer Flame 1mm,2,0.039,EB,0.38,0.38,LF,1037,880060,120,Tafisa
PM-0014-0000783,White Chocolate,White Chocolate,White Chocolate 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880061,120,Tafisa
PM-0014-0000782,White Chocolate,White Chocolate,White Chocolate 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880061,120,Tafisa
EB-0014-0000030,White Chocolate,White Chocolate,White Chocolate 1mm,2,0.039,EB,0.38,0.38,LF,1037,880061,120,Tafisa
PM-0014-0000785,Nutmeg,Nutmeg,Nutmeg 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880062,120,Tafisa
PM-0014-0000784,Nutmeg,Nutmeg,Nutmeg 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880062,120,Tafisa
EB-0014-0000031,Nutmeg,Nutmeg,Nutmeg 1mm,2,0.039,EB,0.38,0.38,LF,1037,880062,120,Tafisa
PM-0014-0000787,Latitude North,Latitude North,Latitude North 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880063,120,Tafisa
PM-0014-0000786,Latitude North,Latitude North,Latitude North 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880063,120,Tafisa
EB-0014-0000032,Latitude North,Latitude North,Latitude North 1mm,2,0.039,EB,0.38,0.38,LF,1037,880063,120,Tafisa
PM-0014-0000789,Summer Breeze,Summer Breeze,Summer Breeze 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880064,120,Tafisa
PM-0014-0000788,Summer Breeze,Summer Breeze,Summer Breeze 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880064,120,Tafisa
EB-0014-0000033,Summer Breeze,Summer Breeze,Summer Breeze 1mm,2,0.039,EB,0.38,0.38,LF,1037,880064,120,Tafisa
PM-0014-0000791,Southwester,Southwester,Southwester 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880065,120,Tafisa
PM-0014-0000790,Southwester,Southwester,Southwester 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880065,120,Tafisa
EB-0014-0000034,Southwester,Southwester,Southwester 1mm,2,0.039,EB,0.38,0.38,LF,1037,880065,120,Tafisa
PM-0014-0000793,Latitude West,Latitude West,Latitude West 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880066,120,Tafisa
PM-0014-0000792,Latitude West,Latitude West,Latitude West 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880066,120,Tafisa
EB-0014-0000035,Latitude West,Latitude West,Latitude West 1mm,2,0.039,EB,0.38,0.38,LF,1037,880066,120,Tafisa
PM-0014-0000795,Latitude East,Latitude East,Latitude East 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880067,120,Tafisa
PM-0014-0000794,Latitude East,Latitude East,Latitude East 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880067,120,Tafisa
EB-0014-0000036,Latitude East,Latitude East,Latitude East 1mm,2,0.039,EB,0.38,0.38,LF,1037,880067,120,Tafisa
PM-0014-0000797,River Rock,River Rock,River Rock 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880068,120,Tafisa
PM-0014-0000796,River Rock,River Rock,River Rock 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880068,120,Tafisa
EB-0014-0000037,River Rock,River Rock,River Rock 1mm,2,0.039,EB,0.38,0.38,LF,1037,880068,120,Tafisa
PM-0014-0000799,Laurentian Path,Laurentian Path,Laurentian Path 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880069,120,Tafisa
PM-0014-0000798,Laurentian Path,Laurentian Path,Laurentian Path 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880069,120,Tafisa
EB-0014-0000038,Laurentian Path,Laurentian Path,Laurentian Path 1mm,2,0.039,EB,0.38,0.38,LF,1037,880069,120,Tafisa
PM-0014-0000801,Sea Fog,Sea Fog,Sea Fog 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880070,120,Tafisa
PM-0014-0000800,Sea Fog,Sea Fog,Sea Fog 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880070,120,Tafisa
EB-0014-0000039,Sea Fog,Sea Fog,Sea Fog 1mm,2,0.039,EB,0.38,0.38,LF,1037,880070,120,Tafisa
PM-0014-0000803,Appalachia,Appalachia,Appalachia 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880071,120,Tafisa
PM-0014-0000802,Appalachia,Appalachia,Appalachia 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880071,120,Tafisa
EB-0014-0000040,Appalachia,Appalachia,Appalachia 1mm,2,0.039,EB,0.38,0.38,LF,1037,880071,120,Tafisa
PM-0014-0000805,Mojave,Mojave,Mojave 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880072,120,Tafisa
PM-0014-0000804,Mojave,Mojave,Mojave 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880072,120,Tafisa
EB-0014-0000041,Mojave,Mojave,Mojave 1mm,2,0.039,EB,0.38,0.38,LF,1037,880072,120,Tafisa
PM-0014-0000807,White Regular,White Regular,White Regular 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880073,120,Tafisa
PM-0014-0000806,White Regular,White Regular,White Regular 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880073,120,Tafisa
