Description,SKU,Name,DisplayName,FranchisePrice,RetailPrice,UOM,ProductType,VendorName,VendorItemNum,Type,Thickness,TypeCode,ColorCode,ProfileCode
PULL NYLON BLACK 116.71.107,AC-0000117,PULL NYLON BLACK 116.71.107,PULL NYLON BLACK 116.71.107,1.21,5.566,EA,AC,HAFELE,116.71.107,4,1,0,0,0
PULL BAR SBC 128MM 155.99.013,AC-0000119,PULL BAR SBC 128MM 155.99.013,PULL BAR SBC 128MM 155.99.013,3.223,14.826,EA,AC,HAFELE,155.99.013,4,1,0,0,0
PULL BAR S SBC 96MM 155.99.004,AC-0000120,PULL BAR S SBC 96MM 155.99.004,PULL BAR S SBC 96MM 155.99.004,3.223,14.826,EA,AC,HAFELE,155.99.004,4,1,0,0,0
PULL BAR S BRSH NI 155.99.000,AC-0000122,PULL BAR S BRSH NI 155.99.000,PULL BAR S BRSH NI 155.99.000,1.166,5.364,EA,AC,HAFELE,155.99.000,4,1,0,0,0
PULL BAR S BRSH NI 155.99.016,AC-0000123,PULL BAR S BRSH NI 155.99.016,PULL BAR S BRSH NI 155.99.016,1.397,6.426,EA,AC,HAFELE,155.99.016,4,1,0,0,0
PULL CARMEL SS 107.18.612,AC-0000126,PULL CARMEL SS 107.18.612,PULL CARMEL SS 107.18.612,1.441,6.629,EA,AC,HAFELE,107.18.612,4,1,0,0,0
PULL CARMEL SS 107.18.613,AC-0000127,PULL CARMEL SS 107.18.613,PULL CARMEL SS 107.18.613,1.441,6.629,EA,AC,HAFELE,107.18.613,4,1,0,0,0
Pull NYLON White 116.71.100,AC-0000128,Pull NYLON White 116.71.100,Pull NYLON White 116.71.100,0.616,2.834,EA,AC,HAFELE,116.71.100,4,1,0,0,0
Jewelry 21in Black,AC-0000129,Jewelry 21in Black,Jewelry 21in Black,33.863,68.148,EA,AC,OCTOBER,CLA5106181301,4,1,0,0,0
Jewelry 21in Black Sliding,AC-0000130,Jewelry 21in Black Sliding,Jewelry 21in Black Sliding,39.363,79.217,EA,AC,OCTOBER,CLAAT200-1806-02,4,1,0,0,0
Jewelry 21in Maroon,AC-0000131,Jewelry 21in Maroon,Jewelry 21in Maroon,33.863,68.148,EA,AC,OCTOBER,CLA5136181301,4,1,0,0,0
Jewelry 21in Maroon Sliding,AC-0000132,Jewelry 21in Maroon Sliding,Jewelry 21in Maroon Sliding,39.363,79.217,EA,AC,OCTOBER,CLAAT200-1806-01,4,1,0,0,0
Jewelry 24in Black,AC-0000133,Jewelry 24in Black,Jewelry 24in Black,36.513,73.481,EA,AC,OCTOBER,CLA5106211301,4,1,0,0,0
Jewelry 24in Black Sliding,AC-0000134,Jewelry 24in Black Sliding,Jewelry 24in Black Sliding,39.363,79.217,EA,AC,OCTOBER,CLAAT200210606,4,1,0,0,0
Jewelry 24in Maroon,AC-0000135,Jewelry 24in Maroon,Jewelry 24in Maroon,36.513,73.481,EA,AC,OCTOBER,CLA5136211301,4,1,0,0,0
Jewelry 24in Maroon Sliding,AC-0000136,Jewelry 24in Maroon Sliding,Jewelry 24in Maroon Sliding,39.363,79.217,EA,AC,OCTOBER,OCTAT200210605,4,1,0,0,0
Jewelry 21in Lucite,AC-0000137,Jewelry 21in Lucite,Jewelry 21in Lucite,46.25,93.078,EA,AC,PLASTIC,0,4,1,0,0,0
Jewelry 24in Lucite,AC-0000138,Jewelry 24in Lucite,Jewelry 24in Lucite,56.25,113.203,EA,AC,PACIFIC,0,4,1,0,0,0
"Synergy Belt ORB 12""",AC-0000139,"Synergy Belt ORB 12""",Synergy Belt ORB 12in,18.249,62.959,EA,AC,HAFELE,807.54.130,4,1,0,0,0
"Synergy Belt Matt Alum 12""",AC-0000140,"Synergy Belt Matt Alum 12""",Synergy Belt Matt Alum 12in,17.248,59.506,EA,AC,HAFELE,807.54.930,4,1,0,0,0
