SKU,Name,DisplayName,Description,LocationCode,Thickness,RetailPrice,UOM,ProductType,ItemTypeCode,ItemColorCode,ItemProfileCode,VendorName,VendorItemNum
AC-0000093,PULL M  OIL RUB  117.31.323,PULL M  OIL RUB  117.31.323,PULL M  OIL RUB  117.31.323,1,1,4.937142857,EA,AC,0,0,0,HAFELE,117.31.323
AC-0000094,PULL M ORB 128MM 125.67.352,PULL M ORB 128MM 125.67.352,PULL M ORB 128MM 125.67.352,1,1,4.914285714,EA,AC,0,0,0,HAFELE,125.67.352
AC-0000095,PULL M  OIL RUB BNZ 125.67.351,PULL M  OIL RUB BNZ 125.67.351,PULL M  OIL RUB BNZ 125.67.351,1,1,4.257142857,EA,AC,0,0,0,HAFELE,125.67.351
AC-0000096,PULL M BRSH NI 125.68.051,PULL M BRSH NI 125.68.051,PULL M BRSH NI 125.68.051,1,1,6,EA,AC,0,0,0,HAFELE,125.68.051
AC-0000097,PULL M  OIL RUB BNZ 125.68.351,PULL M  OIL RUB BNZ 125.68.351,PULL M  OIL RUB BNZ 125.68.351,1,1,3.428571429,EA,AC,0,0,0,HAFELE,125.68.351
AC-0000098,PULL AMERICANA ORB 125.68.352,PULL AMERICANA ORB 125.68.352,PULL AMERICANA ORB 125.68.352,1,1,5.828571429,EA,AC,0,0,0,HAFELE,125.68.352
AC-0000099,PULL BRSH NI 128MM 125.68.052,PULL BRSH NI 128MM 125.68.052,PULL BRSH NI 128MM 125.68.052,1,1,6,EA,AC,0,0,0,HAFELE,125.68.052
AC-0000105,PULL M SS 128MM 102.47.953,PULL M SS 128MM 102.47.953,PULL M SS 128MM 102.47.953,1,1,8.371428571,EA,AC,0,0,0,HAFELE,102.47.953
AC-0000106,PULL POL CHM 102.47.202,PULL POL CHM 102.47.202,PULL POL CHM 102.47.202,1,1,15.15428571,EA,AC,0,0,0,HAFELE,102.47.202
AC-0000117,PULL NYLON BLACK 116.71.107,PULL NYLON BLACK 116.71.107,PULL NYLON BLACK 116.71.107,1,1,0.52,EA,AC,0,0,0,HAFELE,116.71.107
AC-0000119,PULL BAR SBC 128MM 155.99.013,PULL BAR SBC 128MM 155.99.013,PULL BAR SBC 128MM 155.99.013,1,1,3.857142857,EA,AC,0,0,0,HAFELE,155.99.013
AC-0000120,PULL BAR S SBC 96MM 155.99.004,PULL BAR S SBC 96MM 155.99.004,PULL BAR S SBC 96MM 155.99.004,1,1,3.571428571,EA,AC,0,0,0,HAFELE,155.99.004
AC-0000122,PULL BAR S BRSH NI  155.99.000,PULL BAR S BRSH NI  155.99.000,PULL BAR S BRSH NI  155.99.000,1,1,6,EA,AC,0,0,0,HAFELE,155.99.000
AC-0000123,PULL BAR S BRSH NI 155.99.016,PULL BAR S BRSH NI 155.99.016,PULL BAR S BRSH NI 155.99.016,1,1,6,EA,AC,0,0,0,HAFELE,155.99.016
AC-0000126,PULL CARMEL SS 107.18.612,PULL CARMEL SS 107.18.612,PULL CARMEL SS 107.18.612,1,1,2.571428571,EA,AC,0,0,0,HAFELE,107.18.612
AC-0000127,PULL CARMEL SS 107.18.613,PULL CARMEL SS 107.18.613,PULL CARMEL SS 107.18.613,1,1,3.742857143,EA,AC,0,0,0,HAFELE,107.18.613
AC-0000128,Pull NYLON White  116.71.100,Pull NYLON White  116.71.100,Pull NYLON White  116.71.100,1,1,0.3571428571,EA,AC,0,0,0,HAFELE,116.71.100
AC-0000129,Jewelry 21in Black,Jewelry 21in Black,Jewelry 21in Black,1,1,67.45714286,EA,AC,0,0,0,OCTOBER,CLA5106181301
AC-0000130,Jewelry 21in Black Suspended,Jewelry 21in Black Suspended,Jewelry 21in Black Suspended,1,1,62.51428571,EA,AC,0,0,0,OCTOBER,CLAAT200-1806-02
AC-0000131,Jewelry 21in Maroon,Jewelry 21in Maroon,Jewelry 21in Maroon,1,1,67.45714286,EA,AC,0,0,0,OCTOBER,CLA5136181301
AC-0000132,Jewelry 21in Maroon Suspended,Jewelry 21in Maroon Suspended,Jewelry 21in Maroon Suspended,1,1,62.51428571,EA,AC,0,0,0,OCTOBER,CLAAT200-1806-01
AC-0000133,Jewelry 24in Black,Jewelry 24in Black,Jewelry 24in Black,1,1,63.88571429,EA,AC,0,0,0,OCTOBER,CLA5106211301
AC-0000134,Jewelry 24in Black Suspended,Jewelry 24in Black Suspended,Jewelry 24in Black Suspended,1,1,81.28571429,EA,AC,0,0,0,OCTOBER,CLAAT200210606
AC-0000135,Jewelry 24in Maroon,Jewelry 24in Maroon,Jewelry 24in Maroon,1,1,63.88571429,EA,AC,0,0,0,OCTOBER,CLA5136211301
AC-0000136,Jewelry 24in Maroon Suspended,Jewelry 24in Maroon Suspended,Jewelry 24in Maroon Suspended,1,1,81.28571429,EA,AC,0,0,0,OCTOBER,OCTAT200210605
AC-0000137,Jewelry 21in Lucite,Jewelry 21in Lucite,Jewelry 21in Lucite,1,1,82.85714286,EA,AC,0,0,0,PLASTIC,0
AC-0000138,Jewelry 24in Lucite,Jewelry 24in Lucite,Jewelry 24in Lucite,1,1,111.4285714,EA,AC,0,0,0,PACIFIC,0
AC-0000139,"Synergy Belt ORB 12""",Synergy Belt ORB 12in,"Synergy Belt ORB 12""",1,1,42.88571429,EA,AC,0,0,0,HAFELE,807.54.130
AC-0000140,"Synergy Belt Matt Alum 12""",Synergy Belt Matt Alum 12in,"Synergy Belt Matt Alum 12""",1,1,40.57142857,EA,AC,0,0,0,HAFELE,807.54.930
AC-0000141,"Synergy Belt Matt Ni 12""",Synergy Belt Matt Ni 12in,"Synergy Belt Matt Ni 12""",1,1,40.57142857,EA,AC,0,0,0,HAFELE,807.54.630
AC-0000142,"Synergy Belt Chrome 12""",Synergy Belt Chrome 12in,"Synergy Belt Chrome 12""",1,1,40.57142857,EA,AC,0,0,0,HAFELE,807.54.230
AC-0000143,"Synergy Belt White 12""",Synergy Belt White 12in,"Synergy Belt White 12""",1,1,34.14857143,EA,AC,0,0,0,HAFELE,807.54.770
AC-0000144,"Synergy Belt Almond 12""",Synergy Belt Almond 12in,"Synergy Belt Almond 12""",1,1,33.768,EA,AC,0,0,0,HAFELE,807.54.490
AC-0000145,"Synergy Belt ORB 14""",Synergy Belt ORB 14in,"Synergy Belt ORB 14""",1,1,47.26857143,EA,AC,0,0,0,HAFELE,807.54.131
AC-0000146,"Synergy Belt Matt Alum 14""",Synergy Belt Matt Alum 14in,"Synergy Belt Matt Alum 14""",1,1,47.13142857,EA,AC,0,0,0,HAFELE,807.54.931
AC-0000147,"Synergy Belt Matt Ni 14""",Synergy Belt Matt Ni 14in,"Synergy Belt Matt Ni 14""",1,1,45.02857143,EA,AC,0,0,0,HAFELE,807.54.631
AC-0000148,"Synergy Belt Chrome 14""",Synergy Belt Chrome 14in,"Synergy Belt Chrome 14""",1,1,47.13142857,EA,AC,0,0,0,HAFELE,807.54.231
AC-0000149,"Synergy Belt Almond 14""",Synergy Belt Almond 14in,"Synergy Belt Almond 14""",1,1,35.54285714,EA,AC,0,0,0,HAFELE,807.54.491
AC-0000150,"Synergy Tie ORB 12""",Synergy Tie ORB 12in,"Synergy Tie ORB 12""",1,1,42.88571429,EA,AC,0,0,0,HAFELE,807.54.132
AC-0000151,"Synergy Tie Matt Ni 12""",Synergy Tie Matt Ni 12in,"Synergy Tie Matt Ni 12""",1,1,40.57142857,EA,AC,0,0,0,HAFELE,807.54.632
AC-0000152,"Synergy Tie Chrome 12""",Synergy Tie Chrome 12in,"Synergy Tie Chrome 12""",1,1,40.57142857,EA,AC,0,0,0,HAFELE,807.54.232
AC-0000153,"Synergy Tie White 12""",Synergy Tie White 12in,"Synergy Tie White 12""",1,1,33.768,EA,AC,0,0,0,HAFELE,807.54.772
AC-0000154,"Synergy Tie Almond 12""",Synergy Tie Almond 12in,"Synergy Tie Almond 12""",1,1,34.14857143,EA,AC,0,0,0,HAFELE,807.54.492
AC-0000155,"Synergy Tie Matt Alum 12""",Synergy Tie Matt Alum 12in,"Synergy Tie Matt Alum 12""",1,1,42.44571429,EA,AC,0,0,0,HAFELE,807.54.932
AC-0000156,"Synergy Tie Matt Alum 14""",Synergy Tie Matt Alum 14in,"Synergy Tie Matt Alum 14""",1,1,44.62857143,EA,AC,0,0,0,HAFELE,807.54.933
AC-0000157,"Synergy Tie Almond 14""",Synergy Tie Almond 14in,"Synergy Tie Almond 14""",1,1,34.91428571,EA,AC,0,0,0,HAFELE,807.54.493
AC-0000158,"Synergy Tie White 14""",Synergy Tie White 14in,"Synergy Tie White 14""",1,1,35.54285714,EA,AC,0,0,0,HAFELE,807.54.773
AC-0000159,"Synergy Belt White 14""",Synergy Belt White 14in,"Synergy Belt White 14""",1,1,35.54285714,EA,AC,0,0,0,HAFELE,807.54.771
AC-0000160,Synergy Rnd Rod ORB 8ft,Synergy Rnd Rod ORB 8ft,Synergy Rnd Rod ORB 8ft,1,1,39.59285714,EA,AC,0,0,0,HAFELE,801.42.100
AC-0000161,Synergy Rnd Rod Matt Alum 8ft,Synergy Rnd Rod Matt Alum 8ft,Synergy Rnd Rod Matt Alum 8ft,1,1,40.20571429,EA,AC,0,0,0,HAFELE,801.42.900
AC-0000162,Synergy Rnd Rod Matt Brass 8ft,Synergy Rnd Rod Matt Brass 8ft,Synergy Rnd Rod Matt Brass 8ft,1,1,31.08571429,EA,AC,0,0,0,HAFELE,801.42.500
AC-0000163,Synergy Rnd Rod Matt Ni 8ft,Synergy Rnd Rod Matt Ni 8ft,Synergy Rnd Rod Matt Ni 8ft,1,1,37.04657143,EA,AC,0,0,0,HAFELE,801.42.600
AC-0000164,Synergy Rnd Rod Pol Brass 8ft,Synergy Rnd Rod Pol Brass 8ft,Synergy Rnd Rod Pol Brass 8ft,1,1,31.08571429,EA,AC,0,0,0,HAFELE,801.42.800
AC-0000165,Synergy Rnd Rod Pol Chrome 8ft,Synergy Rnd Rod Pol Chrome 8ft,Synergy Rnd Rod Pol Chrome 8ft,1,1,37.90885714,EA,AC,0,0,0,HAFELE,801.42.200
AC-0000166,Synergy Rnd Pole Cup ORB ,Synergy Rnd Pole Cup ORB,Synergy Rnd Pole Cup ORB ,1,1,5.691428571,PR,AC,0,0,0,HAFELE,803.56.100
AC-0000167,Synergy Rnd Pole Cup Matt Alum,Synergy Rnd Pole Cup Matt Alum,Synergy Rnd Pole Cup Matt Alum,1,1,5.828571429,PR,AC,0,0,0,HAFELE,803.56.900
AC-0000168,Synergy Rnd Pole Cup Matt Brass,Synergy Rnd Pole Cup Matt Brass,Synergy Rnd Pole Cup Matt Brass,1,1,4.937142857,PR,AC,0,0,0,HAFELE,803.56.500
AC-0000169,Synergy Rnd Pole Cup Matt Ni ,Synergy Rnd Pole Cup Matt Ni,Synergy Rnd Pole Cup Matt Ni ,1,1,4.937142857,PR,AC,0,0,0,HAFELE,803.56.600
AC-0000170,Synergy Rnd Pole Cup Pol Brass,Synergy Rnd Pole Cup Pol Brass,Synergy Rnd Pole Cup Pol Brass,1,1,4.937142857,PR,AC,0,0,0,HAFELE,803.56.800
AC-0000171,Synergy Rnd Pole Cup Pol Chrome ,Synergy Rnd Pole Cup Pol Chrome,Synergy Rnd Pole Cup Pol Chrome ,1,1,4.937142857,PR,AC,0,0,0,HAFELE,803.56.200
AC-0000172,"Synergy Scarf Rack ORB 14""",Synergy Scarf Rack ORB 14in,"Synergy Scarf Rack ORB 14""",1,1,47.2,EA,AC,0,0,0,HAFELE,807.54.134
AC-0000173,"Synergy Scarf Rack Matt Alum 14""",Synergy Scarf Rack Matt Alum 14in,"Synergy Scarf Rack Matt Alum 14""",1,1,44.62857143,EA,AC,0,0,0,HAFELE,807.54.934
AC-0000174,"Synergy Valet Rail ORB 12""",Synergy Valet Rail ORB 12in,"Synergy Valet Rail ORB 12""",1,1,42.94285714,EA,AC,0,0,0,HAFELE,808.70.130
AC-0000175,"Synergy Valet Rail Matt Ni 12""",Synergy Valet Rail Matt Ni 12in,"Synergy Valet Rail Matt Ni 12""",1,1,40.57142857,EA,AC,0,0,0,HAFELE,808.70.630
AC-0000176,"Synergy Valet Rail Chrome 12""",Synergy Valet Rail Chrome 12in,"Synergy Valet Rail Chrome 12""",1,1,40.57142857,EA,AC,0,0,0,HAFELE,808.70.230
AC-0000177,"Synergy Valet Rail White 12""",Synergy Valet Rail White 12in,"Synergy Valet Rail White 12""",1,1,35.86285714,EA,AC,0,0,0,HAFELE,808.70.770
AC-0000178,"Synergy Valet Rail Almond 12""",Synergy Valet Rail Almond 12in,"Synergy Valet Rail Almond 12""",1,1,35.86285714,EA,AC,0,0,0,HAFELE,808.70.490
AC-0000179,"Synergy Valet Rail Matt Alum 12""",Synergy Valet Rail Matt Alum 12in,"Synergy Valet Rail Matt Alum 12""",1,1,40.57142857,EA,AC,0,0,0,HAFELE,808.70.930
AC-0000180,"Synergy Valet Rail ORB 14""",Synergy Valet Rail ORB 14in,"Synergy Valet Rail ORB 14""",1,1,46.4,EA,AC,0,0,0,HAFELE,808.70.131
AC-0000181,"Synergy Valet Rail Matt Alum 14""",Synergy Valet Rail Matt Alum 14in,"Synergy Valet Rail Matt Alum 14""",1,1,43.57142857,EA,AC,0,0,0,HAFELE,808.70.931
AC-0000182,"Synergy Valet Rail Matt Ni 14""",Synergy Valet Rail Matt Ni 14in,"Synergy Valet Rail Matt Ni 14""",1,1,44.74285714,EA,AC,0,0,0,HAFELE,808.70.631
AC-0000183,"Synergy Valet Rail Chrome 14""",Synergy Valet Rail Chrome 14in,"Synergy Valet Rail Chrome 14""",1,1,44.74285714,EA,AC,0,0,0,HAFELE,808.70.231
AC-0000184,"Synergy Valet Rail Almond 14""",Synergy Valet Rail Almond 14in,"Synergy Valet Rail Almond 14""",1,1,30.54285714,EA,AC,0,0,0,HAFELE,808.70.491
AC-0000185,"Synergy Valet Rail White 14""",Synergy Valet Rail White 14in,"Synergy Valet Rail White 14""",1,1,35.82857143,EA,AC,0,0,0,HAFELE,808.70.771
AC-0000187,ROBE HOOK - NI MATT,ROBE HOOK - NI MATT,ROBE HOOK - NI MATT,1,1,2.742857143,EA,AC,0,0,0,HAFELE,845.01.600
AC-0000188,Robe Hook - Chrome,Robe Hook - Chrome,Robe Hook - Chrome,1,1,1.737142857,EA,AC,0,0,0,HAFELE,885.06.209
AC-0000189,Robe Hook O.R.B,Robe Hook O.R.B,Robe Hook O.R.B,1,1,2.217142857,EA,AC,0,0,0,HAFELE,845.01.300
AC-0000190,LATCH FINGER CHROM 245.74.200,LATCH FINGER CHROM 245.74.200,LATCH FINGER CHROM 245.74.200,1,1,4.857142857,EA,AC,0,0,0,HAFELE,245.74.200
AC-0000191,Cam 2 INCH  ( USED WITH LOCK),Cam 2 INCH  ( USED WITH LOCK),Cam 2 INCH  ( USED WITH LOCK),1,1,2.628571429,EA,AC,0,0,0,SECURITYPLUS,C7004-2C
AC-0000192,Lock 2IN DICS C415A or C413A 1-3/16,Lock 2IN DICS C415A/C413A 1-3/16,Lock 2IN DICS C415A/C413A 1-3/16,1,1,12.34285714,EA,AC,0,0,0,SECURITYPLUS,C8055-14A
AC-0000193,Lock - Magnetic,Lock - Magnetic,Lock - Magnetic,1,1,12.11428571,EA,AC,0,0,0,LOUIS,RVRL201
AC-0000194,Key - Magnetic Lock,Key - Magnetic Lock,Key - Magnetic Lock,1,1,17.88571429,EA,AC,0,0,0,LOUIS,RURL202
AC-0000195,Wardrobe Lift - 21in-27in ,Wardrobe Lift - 21in-27in,Wardrobe Lift - 21in-27in ,1,1,101.2571429,EA,AC,0,0,0,HAFELE,805.31.201
AC-0000196,Wardrobe Lift - 27in-36in,Wardrobe Lift - 27in-36in,Wardrobe Lift - 27in-36in,1,1,112.96,EA,AC,0,0,0,HAFELE,805.31.202
AC-0000197,Wardrobe Lift - 35in-48in,Wardrobe Lift - 35in-48in,Wardrobe Lift - 35in-48in,1,1,104.4571429,EA,AC,0,0,0,HAFELE,805.31.203
AC-0000204,Oval Chrome Rod,Oval Chrome Rod 8ft,Oval Chrome Rod 8ft,1,1,10.25714286,EA,AC,0,0,0,HAFELE,801.13.201
AC-0000205,PULL WIRE POL CHM 155.00.932,PULL WIRE POL CHM 155.00.932,PULL WIRE POL CHM 155.00.932,1,1,6,EA,AC,0,0,0,HAFELE ,155.00.932
AC-0000206,PULL AM CANDLER SN 133.50.195,PULL AM CANDLER SN 133.50.195,PULL AM CANDLER SN 133.50.195,1,1,12,EA,AC,0,0,0,HAFELE ,133.50.195
AC-0000207,PULL AM CANDLER SN 133.50.198,PULL AM CANDLER SN 133.50.198,PULL AM CANDLER SN 133.50.198,1,1,10,EA,AC,0,0,0,HAFELE ,133.50.198
AC-0000208,PULL BAR MATT GOLD 155.02.411,PULL BAR MATT GOLD 155.02.411,PULL BAR MATT GOLD 155.02.411,1,1,6,EA,AC,0,0,0,HAFELE ,155.02.411
AC-0000209,PULL BAR MATT GOLD 155.02.413,PULL BAR MATT GOLD 155.02.413,PULL BAR MATT GOLD 155.02.413,1,1,6,EA,AC,0,0,0,HAFELE ,155.02.413
AC-0000210,KN AM CANDLER SN 133.50.243,KN AM CANDLER SN 133.50.243,KN AM CANDLER SN 133.50.243,1,1,5.85,EA,AC,0,0,0,HAFELE ,133.50.243
AC-0000211,KN KEYSTONE ANT SATIN 110.93.462,KN KEYSTONE ANT SATIN 110.93.462,KN KEYSTONE ANT SATIN 110.93.462,1,1,3,EA,AC,0,0,0,HAFELE ,110.93.462
AC-0000212,PULL KEYSTONE ANT SATIN 110.93.461,PULL KEYSTONE ANT SATIN 110.93.461,PULL KEYSTONE ANT SATIN 110.93.461,1,1,6,EA,AC,0,0,0,HAFELE ,110.93.461
AC-0000213,PULL SQ MATT BLK 155.01.610,PULL SQ MATT BLK 155.01.610,PULL SQ MATT BLK 155.01.610,1,1,6,EA,AC,0,0,0,HAFELE ,155.01.610
AC-0000214,PULL SQ MATT BLK 155.01.611,PULL SQ MATT BLK 155.01.611,PULL SQ MATT BLK 155.01.611,1,1,6,EA,AC,0,0,0,HAFELE ,155.01.611
AC-0000215,1/4 GLASS CLEAR ANNEALED ,1/4 GLASS CLEAR ANNEALED ,1/4 GLASS CLEAR ANNEALED ,1,0.25,9.5,SF,AC,0,0,0,PRL,1/4 GLASS CLEAR ANNEALED 
AC-0000216,"HAMPER TILT OUT 18"" 20H","HAMPER TILT OUT 18"" 20H","HAMPER TILT OUT 18"" 20H",1,1,130,EA,AC,0,0,0,HAFELE,547.43.301
AC-0000217,"HAMPER TILT OUT 24"" 20H DOUBLE BAG","HAMPER TILT OUT 24"" 20H DOUBLE BAG","HAMPER TILT OUT 24"" 20H DOUBLE BAG",1,1,160,EA,AC,0,0,0,HAFELE,547.43.303
