SKU,Name,DisplayName,Description,Thickness,RetailPrice,UOF,ProductType,ItemTypeCode,ItemColorCode,ItemProfileCode,VendorName,VendorItemNum
EB-0000191,EB M Makassaro 1045,M Makassaro,EB M Makassaro 1mm LK00,0.039,0.335,LF,EB,1030,110600,1020,UKNOWN,0
EB-0000193,EB SL ALABASTER 1045,SL Alabaster,EB SL ALABASTER 15/16 1mm,0.039,0.573,LF,EB,1045,108050,1020,UKNOWN,0
EB-0000194,EB EDGEWOOD SYC 1030,Edgewood Sycamore,EB EDGEWOOD SYC 018 15/16 4490,0.018,0.101,LF,EB,1030,123150,1020,UKNOWN,0
EB-0000195,EB TL Exquisite Elm 1030,TL Exquisite Elm,EB TL Exquisite Elm .018 8312,0.018,0.142,LF,EB,1030,165353,1020,UKNOWN,0
EB-0000196,EB M Lounge Brown 1045,M Lounge Brown,EB M Lounge Brown 1mm S028,0.039,0.335,LF,EB,1030,110655,1020,UKNOWN,0
EB-0000197,EB M Aspen Oak 1045,M Aspen Oak,EB M Aspen Oak 1mm LM67,0.039,0.325,LF,EB,1030,110690,1020,UKNOWN,0
EB-0000198,EB M Palisandro Wlnut 1045,M Palissandro Walnut,EB M Palisandro Wlnut 1mm LM98,0.039,0.325,LF,EB,1030,110670,1020,UKNOWN,0
EB-0000199,EB TL Opulent Olmo  1030,TL Opulent Olmo,EB TL OPULENT OLMO .018 15/16,0.018,0.161,LF,EB,1030,165356,1020,UKNOWN,0
EB-0000200,EB Butter Toffee 1030,Butter Toffee,EB Butter Toffee .018 15/16,0.018,0.066,LF,EB,1030,115500,1020,UKNOWN,0
EB-0000201,EB Alive in Memp 1030,Alive In Memphis,EB Alive in Memp  018 15/16 4623,0.018,0.087,LF,EB,1030,111480,1020,UKNOWN,0
EB-0000202,EB SL Graphite 1045,SL Graphite,EB SL GRAPHITE 15/16 1mm,0.039,0.693,LF,EB,1045,108350,1020,UKNOWN,0
EB-0000206,EB TLTrytoo Savatre 1030,TL Trytoo Savatre,EB TLTrytoo Savatre .018 15/16 3245AA,0.018,0.105,LF,EB,1030,165358,1020,UKNOWN,0
EB-0000207,EB Exquisite Elm 1030,Exquisite Elm,EB EXQUISITE ELM .018 15/16 8312,0.018,0.142,LF,EB,1030,123950,1020,UKNOWN,0
EB-0000209,EB Corporate Walnut 1030,Corporate Walnut,EB COPORTE WLNT 018 15/16 4689TF,0.018,0.127,LF,EB,1030,117600,1020,UKNOWN,0
EB-0000210,EB Cabinet Oak 1030,Cabinet Oak,EB CABINET OAK 018 15/16 3179,0.018,0.105,LF,EB,1030,117010,1020,UKNOWN,0
EB-0000211,EB Seems Likatre 1030,Seems Likatre,EB SEEMS LIKATRE.018 15/16 3243,0.018,0.096,LF,EB,1040,123062,1020,UKNOWN,0
EB-0000212,EB Renais Oak 1040,Renaissance Oak,EB RENAIS OAK 018 1 5/16 4034R,0.018,0.101,LF,EB,1040,159200,1020,UKNOWN,0
EB-0000214,EB Renaissance Oak 1030,Renaissance Oak,EB RENAISSANC OAK 018 15/16 4034,0.018,0.087,LF,EB,1030,159200,1020,UKNOWN,0
EB-0000215,EB A Medina Linear Ash 1030,A Medina Linear Ash,EB A MEDINA LINEAR ASH .018,0.018,0.171,LF,EB,1030,105000,1020,UKNOWN,0
EB-0000216,EB Natural Maple 1030,Natural Maple,EB NATURAL MAPL 018 15/16 3916TF,0.018,0.105,LF,EB,1030,150010,1020,UKNOWN,0
EB-0000217,EB Fusion Maple 1030,Fusion Maple,EB FUSION MAPLE 018 15/16 3922,0.018,0.069,LF,EB,1030,126850,1020,UKNOWN,0
EB-0000218,EB M Java Chestnut 1045,M Java Chestnut,EB M Java Chestnut 1mm S012,0.039,0.335,LF,EB,1030,110830,1020,UKNOWN,0
EB-0000219,EB Brittany Blue 1030,EB BRITTANY BLUE  018 15/16 9244,EB BRITTANY BLUE  018 15/16 9244,0.018,0.105,LF,EB,1030,114700,1020,UKNOWN,0
EB-0000220,EB Molten Lava 1030,Molten Lava,EB MOLTEN LAVA 15/16 .018,0.018,0.066,LF,EB,1030,147500,1020,UKNOWN,0
EB-0000221,EB Wedding Cake 1030,Wedding Cake,EB WEDDING CAKE 15/16 .018,0.018,0.066,LF,EB,1030,174090,1020,UKNOWN,0
EB-0000222,EB TL Nightfall 1030,TL Witchcraft,EB TL Nightfall .018  15/16 4887R1A,0.018,0.105,LF,EB,1030,165500,1020,UKNOWN,0
EB-0000223,EB Chocolate Malt 1030,Chocolate Malt,EB CHOCOLATE MALT 15/16 .018,0.018,0.069,LF,EB,1030,117317,1020,UKNOWN,0
EB-0000224,EB Bamboo 1045,Bamboo,EB Bamboo 1mm LM14,0.039,0.335,LF,EB,1040,110650,1020,UKNOWN,0
EB-0000226,EB Pumice 1030,Pumice,EB PUMICE .018 15/16 2263,0.018,0.105,LF,EB,1030,156850,1020,UKNOWN,0
EB-0000227,EB True White 1030,True White,EB TRUE WHITE .018 15/16 2027,0.018,0.105,LF,EB,1030,165700,1020,UKNOWN,0
EB-0000228,EB Apple Spice 1030,EB Apple Spice 018 15/16 4274,EB Apple Spice 018 15/16 4274,0.018,0.067,LF,EB,1030,111660,1020,UKNOWN,0
EB-0000229,EB Castle Oak 1040,Castle Oak II,EB CASTL OAK 018 1 5/16 3481R,0.018,0.096,LF,EB,1040,117040,1020,UKNOWN,0
EB-0000230,EB Leave Likatre 1030,Leave Likatre,EB LEAVE LIKATRE.018 15/16 3244,0.018,0.105,LF,EB,1040,123063,1020,UKNOWN,0
EB-0000231,EB Sunrise 1030,Sunrise,EB SUNRISE 018 15/16 4102,0.018,0.061,LF,EB,1030,162850,1020,UKNOWN,0
EB-0000232,EB Twilight 1040,Twilight,EB TWILIGH 018 1 5/16 PANW265R,0.018,0.267,LF,EB,1040,165950,1020,UKNOWN,0
EB-0000233,EB Fog Grey 3030,Fog Gray,EB FOG GREY 3M 1 15/16 2425,0.118,0.352,LF,EB,3060,126600,1020,UKNOWN,0
EB-0000234,EB Surf 1030,Surf,EB SURF .018 15/16 2145,0.018,0.105,LF,EB,1030,162870,1020,UKNOWN,0
EB-0000235,EB Nutmeg Cherry 3030,Nutmeg Cherry,EB NUTMEG CHERRY 3M 15/16 4275,0.118,0.519,LF,EB,3030,150850,1020,UKNOWN,0
EB-0000237,EB A Medina White 1030,A Medina White,EB A MEDINA WHITE .018  15/16,0.018,0.155,LF,EB,1030,105500,1020,UKNOWN,0
EB-0000240,EB Latte Maple 1030,EB LATTE MAPLE 018 15/16 5810,EB LATTE MAPLE 018 15/16 5810,0.018,0.098,LF,EB,1030,144000,1020,UKNOWN,0
EB-0000241,EB Storm 1030,Storm,EB STORM .018 15/16 2478,0.018,0.085,LF,EB,1030,162800,1020,UKNOWN,0
EB-0000242,EB Leave Likatre 1030,Leave Likatre,EB LEAVE LIKATRE.018 15/16 3244,0.018,0.105,LF,EB,1040,123063,1020,UKNOWN,0
EB-0000243,EB Ebony Sand 1040,Ebony Sand,EB EBONY SAND 018 1 5/16  6623,0.018,0.088,LF,EB,1040,123050,1020,UKNOWN,0
EB-0000244,EB Iwantoo Savatre 1030,Iwantoo Savatre,EB IWANTOO SAVATRE.018 3247,0.018,0.105,LF,EB,1040,123066,1020,UKNOWN,0
EB-0000245,EB Riviera Maple 1030,Riviera Maple,EB RIVIERA MAPLE 018 15/16 3728,0.018,0.069,LF,EB,1030,159350,1020,UKNOWN,0
EB-0000246,EB Noble Mahogany 1030,Noble Mahogany,EB NOBLE MAHOGANY 018 15/16 3962,0.018,0.069,LF,EB,1030,150600,1020,UKNOWN,0
EB-0000247,EB Field Cherry 1030,Field Cherry,EB FIELD CHERRY 018 15/16 4484,0.018,0.105,LF,EB,1030,126350,1020,UKNOWN,0
EB-0000248,EB Knotty Pine 1030,Knotty Pine,EB KNOTTY PINE .018 15/16 4145,0.018,0.12,LF,EB,1030,141550,1020,UKNOWN,0
EB-0000249,EB Sipping Seatle Java 1030,Sipping Seattle Java,EB SIPPING SEATTL JA .018 4709,0.018,0.113,LF,EB,1030,162240,1020,UKNOWN,0
EB-0000250,EB TL Aimtoo Savatre 1030,TL Aimtoo Savatre,EB TL Aimtoo Savatre .018 3246AA,0.018,0.105,LF,EB,1030,165351,1020,UKNOWN,0
EB-0000251,EB Pepperdust 1030,Pepperdust,EB PEPPERDUST .018 15/16 2495,0.018,0.064,LF,EB,1030,156260,1020,UKNOWN,0
EB-0000252,EB Silver Grey 1030,Silver Gray,EB SILVER GREY .018 15/16 2426,0.018,0.064,LF,EB,1030,162220,1020,UKNOWN,0
EB-0000253,EB Custom Grey 1030,Custom Gray,EB CUSTOM GREY 018 15/16 2454,0.018,0.041,LF,EB,1030,117850,1020,UKNOWN,0
EB-0000254,EB Mahogany Clove 1030,Mahogany Clove,EB MAHOGAN CLOV 018 15/16 4726,0.018,0.105,LF,EB,1030,147020,1020,UKNOWN,0
EB-0000255,EB Slate Grey 1030,EB SLATE GREY .018 15/16 2431R,EB SLATE GREY .018 15/16 2431R,0.018,0.064,LF,EB,1030,162400,1020,UKNOWN,0
EB-0000256,EB Oxford White 2045,Oxford White,EB OX WHT 2M 15/16   2001,0.078,0.243,LF,EB,2030,110100,1020,UKNOWN,0
EB-0000257,EB Morning Dew 1030,EB MORNING DEW 018   4175R2,EB MORNING DEW 018   4175R2,0.018,0.105,LF,EB,1030,147600,1020,UKNOWN,0
EB-0000258,EB Corretto Cherry 1030,Corretto Cherry,EB CORRETTO CHY018 15/16 5802,0.018,0.107,LF,EB,1030,117670,1020,UKNOWN,0
EB-0000259,EB Light Maple 1030,EB LIGHT MAPL 018  15/16 3919R,EB LIGHT MAPL 018  15/16 3919R,0.018,0.093,LF,EB,1040,144350,1020,UKNOWN,0
EB-0000260,EB Grove Mytle 1030,Grove Myrtle,EB GROVE MYRTLE .018 15/16 4487,0.018,0.105,LF,EB,1030,129740,1020,UKNOWN,0
EB-0000261,EB Pralines n Cream 1030,Pralines n Cream,EB PRALINES n CREAM 15/16 .018,0.018,0.066,LF,EB,1030,156670,1020,UKNOWN,0
EB-0000262,EB M Lakeshore Oak 1045,M Lakeshore Oak,EB M Lakeshore Oak 1mm LN28,0.039,0.335,LF,EB,1030,110730,1020,UKNOWN,0
EB-0000263,EB Riviera Maple 3030,Riviera Maple,EB RIVIERA MAPLE 3M 15/16  3728,0.118,0.717,LF,EB,3030,159350,1020,UKNOWN,0
EB-0000264,EB TL Black  1030,TL Black,EB TL Black  .018  15/16,0.018,0.113,LF,EB,1030,165352,1020,UKNOWN,0
EB-0000265,EB TL Abso Acajou 1030,TL Absolute Acajou,EB TL Abso Acajou .018 15/16 8310AA,0.018,0.113,LF,EB,1030,165350,1020,UKNOWN,0
EB-0000266,EB Grand Cherry 1040,Grand Cherry,EB GRAND CHER 018 1 5/16 4520,0.018,0.101,LF,EB,1040,129700,1020,UKNOWN,0
EB-0000267,EB Willow Grey 1030,Willow Grey,EB WILLOW GREY .018 15/16 2422,0.018,0.064,LF,EB,1030,174360,1020,UKNOWN,0
EB-0000269,EB Opto Printatre 1030,Opto Printatre,EB OPTO PRINTATRE.018 3248,0.018,0.096,LF,EB,1040,123067,1020,UKNOWN,0
EB-0000270,EB Grey Mesh 1030,EB GREY MESH .018 15/16 6290R,EB GREY MESH .018 15/16 6290R,0.018,0.125,LF,EB,1030,129712,1020,UKNOWN,0
EB-0000271,EB Gunstock Walnut 1040,Gunstock Walnut,EB GUNSTC WLNT 018 1 5/16 5139,0.018,0.063,LF,EB,1040,129850,1020,UKNOWN,0
EB-0000272,EB Dusk to Dawn 1030,Dusk to Dawn,EB DUSK TO DAWN 018 15/16 4635R1,0.018,0.105,LF,EB,1030,120850,1020,UKNOWN,0
EB-0000273,EB Brown Pearwood 3030,Brown Pearwood,EB BROWN PEARW   3M 15/16 4763,0.118,0.519,LF,EB,3030,115000,1020,UKNOWN,0
EB-0000274,EB Vienna Cherry 1030,Vienna Cherry,EB VIENNA CHERRY 018 15/16 4905,0.018,0.105,LF,EB,1030,171300,1020,UKNOWN,0
EB-0000275,EB Nightfall 1030,EB NIGHTFALL 018 15/16 4887,EB NIGHTFALL 018 15/16 4887,0.018,0.088,LF,EB,1030,150350,1020,UKNOWN,0
EB-0000276,EB Sliced Red Oak 1030,EB SLICED RD OAK .018 15/16 3249,EB SLICED RD OAK .018 15/16 3249,0.018,0.105,LF,EB,1030,162450,1020,UKNOWN,0
EB-0000277,EB Backwoods Sycamore 1040,Backwoods Sycamore,EB BACKWD SY  018 1 5/16 4489R,0.018,0.069,LF,EB,1040,114050,1020,UKNOWN,0
EB-0000278,EB Aimtoo Savatre 1030,Aimtoo Savatre,EB AIMTOO SAVATRE.018 3246,0.018,0.105,LF,EB,1040,123065,1020,UKNOWN,0
